State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
SA,23/01/2020,,0,,,,,,,,,,,,,
VIC,25/01/2020,,1,,,,,,,,,,,,,
NSW,25/01/2020,,3,,,,,,,,,,,,,
NSW,27/01/2020,,4,,,,,,,,,,,,,
QLD,28/01/2020,,0,,,,,,,,,,,,,
SA,29/01/2020,,0,,,,,,,,,,,,,
QLD,29/01/2020,,1,,,,,,,,,,,,,
VIC,29/01/2020,,2,,,,,,,,,,,,,
QLD,30/01/2020,,2,,,,,,,,,,,,,
VIC,30/01/2020,,3,,,,,,,,,,,,,
NSW,30/01/2020,,4,,,,,,,,,,,,,
SA,31/01/2020,,0,,,,,,,,,,,,,
NSW,31/01/2020,,4,,,,,,,,,,,,,
SA,01/02/2020,,0,,,,,,,,,,,,,
NSW,01/02/2020,,4,,,,,,,,,,,,,
VIC,01/02/2020,,4,,,,,,,,,,,,,
SA,02/02/2020,,2,,,,,,,,,,,,,
NSW,02/02/2020,,4,,,,,,,,,,,,,
SA,03/02/2020,,2,,,,,,,,,,,,,
NSW,03/02/2020,,4,,,,,,,,,,,,,
SA,04/02/2020,,2,,,,,,,,,,,,,
QLD,04/02/2020,,3,,,,,,,,,,,,,
NSW,04/02/2020,,4,,,,,,,,,,,,,
NSW,05/02/2020,,4,,,,,,,,,,,,,
QLD,05/02/2020,,4,,,,,,,,,,,,,
NSW,06/02/2020,,4,,,,,,,,,,,,,
QLD,06/02/2020,,5,,,,,,,,,,,,,
NSW,07/02/2020,,4,,,,,,,,,,,,,
NSW,08/02/2020,,4,,,,,,,,,,,,,
NSW,09/02/2020,,4,,,,,,,,,,,,,
NSW,10/02/2020,,4,,,,,,,,,,,,,
NSW,11/02/2020,,4,,,,,,,,,,,,,
NSW,12/02/2020,,4,,,,,,,,,,,,,
NSW,13/02/2020,,4,,,,,,,,,,,,,
NSW,14/02/2020,,4,,,,,,,,,,,,,
NSW,16/02/2020,,4,,,,,,,,,,,,,
NSW,17/02/2020,,4,,,,,,,,,,,,,
NSW,18/02/2020,,4,,,,,,,,,,,,,
NSW,19/02/2020,,4,,,,,,,,,,,,,
SA,20/02/2020,,2,,,,,,,,,,,,,
NSW,20/02/2020,,4,,,,,,,,,,,,,
WA,21/02/2020,,1,,,,,,,,,,,,,
NSW,21/02/2020,,4,,,,,,,,,,,,,
NSW,22/02/2020,,4,,,,,,,,,,,,,
QLD,22/02/2020,,7,,,,,,,,,,,,,
NSW,23/02/2020,,4,,,,,,,,,,,,,
SA,24/02/2020,,3,,,,,,,,,,,,,
NSW,24/02/2020,,4,,,,,,,,,,,,,
NSW,25/02/2020,,4,,,,,,,,,,,,,
QLD,25/02/2020,,8,,,,,,,,,,,,,
NSW,26/02/2020,,4,,,,,,,,,,,,,
WA,28/02/2020,,2,,,,,,,,,,,,,
QLD,29/02/2020,,9,,,,,,,,,,,,,
NSW,01/03/2020,,5,,,,,,,,,,,,,
NSW,01/03/2020,,6,,,,,,,,,,,,,
VIC,01/03/2020,,9,,,,,,,,,,,,,
WA,01/03/2020,,,1,,,,,,,,,,,,
SA,03/03/2020,,3,,,,,,,,,,,,,
NSW,03/03/2020,,9,,,,,,,,,,,,,
QLD,03/03/2020,,10,,,,,,,,,,,,,
NSW,03/03/2020,,15,,,,,,,,,,,,,
