"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"25/01","3","1","0","0","0","0","0","0"
"26/01","3","1","0","0","0","0","0","0"
"27/01","4","1","0","0","0","0","0","0"
"28/01","4","1","0","0","0","0","0","0"
"29/01","4","3","2","0","0","0","0","0"
"30/01","4","3","2","0","0","0","0","0"
"31/01","4","3","2","0","0","0","0","0"
"01/02","4","4","2","0","0","0","0","0"
"02/02","4","4","2","2","0","0","0","0"
"03/02","4","4","2","2","0","0","0","0"
"04/02","4","4","3","2","0","0","0","0"
"05/02","4","4","4","2","0","0","0","0"
"06/02","4","4","5","2","0","0","0","0"
"07/02","4","4","5","2","0","0","0","0"
"08/02","4","4","5","2","0","0","0","0"
"09/02","4","4","5","2","0","0","0","0"
"10/02","4","4","5","2","0","0","0","0"
"11/02","4","4","5","2","0","0","0","0"
"12/02","4","4","5","2","0","0","0","0"
"13/02","4","4","5","2","0","0","0","0"
"14/02","4","4","5","2","0","0","0","0"
"15/02","4","4","5","2","0","0","0","0"
"16/02","4","4","5","2","0","0","0","0"
"17/02","4","4","5","2","0","0","0","0"
"18/02","4","4","5","2","0","0","0","0"
"19/02","4","4","5","2","0","0","0","0"
"20/02","4","4","5","2","0","0","0","0"
"21/02","4","4","7","3","1","0","0","0"
"22/02","4","4","8","3","1","0","0","0"
"23/02","4","4","8","3","1","0","0","0"
"24/02","4","4","8","3","1","0","0","0"
"25/02","4","4","8","3","1","0","0","0"
"26/02","4","4","8","3","1","0","0","0"
"27/02","4","7","8","3","1","0","0","0"
"28/02","4","7","9","3","2","0","0","0"
"29/02","4","7","9","3","2","0","0","0"
"01/03","5","9","9","3","2","0","0","0"
"02/03","9","9","9","3","2","0","0","0"
"03/03","15","9","10","3","2","1","0","0"
"04/03","22","10","11","5","2","1","0","0"
"05/03","25","10","13","7","3","1","0","0"
"06/03","28","10","14","7","3","1","0","0"
"07/03","36","11","14","7","3","2","0","0"
"08/03","40","12","15","7","4","2","0","0"
"09/03","47","15","15","7","6","2","0","0"
"10/03","61","18","18","7","6","2","0","0"
"11/03","65","21","20","9","9","3","0","0"
"12/03","78","27","27","12","9","3","0","1"
"13/03","92","36","35","16","14","4","0","1"
"14/03","112","49","46","19","17","5","0","1"
"15/03","134","57","61","20","18","6","0","1"
"16/03","171","71","68","29","28","7","0","2"
"17/03","210","94","78","32","31","7","0","2"
"18/03","267","121","94","37","35","10","0","3"
"19/03","307","150","144","42","52","10","0","4"
"20/03","353","178","184","50","64","10","2","6"
"21/03","436","229","221","67","90","16","4","9"
"22/03","533","296","259","100","120","21","4","19"
"23/03","669","355","319","134","140","27","4","32"
"24/03","818","411","397","170","175","35","5","39"
"25/03","1,029","466","443","197","205","41","5","44"
"26/03","1,219","520","493","235","231","46","12","53"
"27/03","1,405","574","555","257","255","58","14","62"
"28/03","1,617","685","625","287","278","62","15","71"
"29/03","1,791","769","656","299","311","66","15","77"
"30/03","1,918","821","689","305","355","69","15","78"
"31/03","2,032","917","743","337","364","69","19","80"
"01/04","2,182","968","781","367","392","71","19","84"
"02/04","2,298","1,036","835","385","400","74","22","87"
"03/04","2,389","1,085","873","396","422","80","26","91"
"04/04","2,493","1,115","900","407","436","82","26","93"
"05/04","2,580","1,135","907","409","453","86","27","96"
"06/04","2,637","1,158","921","411","460","89","27","96"
"07/04","2,686","1,191","934","415","470","98","27","97"
"08/04","2,734","1,212","943","420","481","107","27","99"
"09/04","2,773","1,228","953","421","495","111","27","100"
"10/04","2,822","1,241","965","428","506","122","27","103"
"11/04","2,857","1,265","974","429","514","133","27","103"
"12/04","2,854","1,268","983","429","517","144","27","102"
"13/04","2,863","1,281","987","431","523","150","27","103"
"14/04","2,870","1,291","998","433","527","165","27","103"
"15/04","3,075","1,299","999","433","532","169","27","103"
"16/04","3,086","1,301","1,001","434","535","180","27","103"
"17/04","3,115","1,302","1,007","435","541","184","27","103"
"18/04","3,125","1,319","1,015","435","544","188","27","103"
"19/04","3,146","1,328","1,019","435","545","197","27","103"
"20/04","3,152","1,329","1,019","435","545","202","27","104"
"21/04","3,158","1,336","1,024","437","546","203","27","104"
"22/04","3,160","1,336","1,024","438","546","207","27","104"
"23/04","3,165","1,337","1,026","438","546","207","27","104"
"24/04","3,171","1,343","1,026","438","548","209","27","105"
